clienteid,evadio,genero,adulto mayor,tiene pareja,tiene dependientes,meses de contrato,servicio telefonico,multilineas,servicio internet,seguridad en linea,respaldo en linea,proteccion de dispositivos,soporte tecnico,television por streaming,suscripcion peliculas,tipo de contrato,factura online,metodo de pago,total del mes,total cliente,cuentas_diarias,cantidad_servicios,evadio_numeric
0002-ORFBO,No,Mujer,0,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,Anual,Si,Cheque por correo,65.6,593.3,2.1866666666666665,4,0
0003-MKNFE,No,Hombre,0,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Cheque por correo,59.9,542.4,1.9966666666666666,3,0
0004-TLHLJ,Si,Hombre,0,No,No,4,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Cheque electronico,73.9,280.85,2.4633333333333334,2,1
0011-IGKFF,Si,Hombre,1,Si,No,13,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,98.0,1237.85,3.2666666666666666,5,1
0013-EXCHZ,Si,Mujer,1,Si,No,3,Si,No,Fibra optica,No,No,No,Si,Si,No,Mensual,Si,Cheque por correo,83.9,267.4,2.796666666666667,3,1
0013-MHZWF,No,Mujer,0,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito (automatico),69.4,571.45,2.3133333333333335,4,0
0013-SMEOE,No,Mujer,1,Si,No,71,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria (automatico),109.7,7904.25,3.6566666666666667,7,0
0014-BMAQU,No,Hombre,0,Si,No,63,Si,Si,Fibra optica,Si,No,No,Si,No,No,Dos años,Si,Tarjeta de credito (automatico),84.65,5377.8,2.8216666666666668,4,0
0015-UOCOJ,No,Mujer,1,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electronico,48.2,340.35,1.6066666666666667,2,0
0016-QLJIS,No,Mujer,0,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque por correo,90.45,5957.9,3.015,8,0
0017-DINOC,No,Hombre,0,No,No,54,No,Sin servicio telefonico,DSL,Si,No,No,Si,Si,No,Dos años,No,Tarjeta de credito (automatico),45.2,2460.55,1.5066666666666668,3,0
0017-IUDMW,No,Mujer,0,Si,Si,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito (automatico),116.8,8456.75,3.893333333333333,8,0
0018-NYROU,No,Mujer,0,Si,No,5,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,68.95,351.5,2.2983333333333333,1,0
0019-EFAEP,No,Mujer,0,No,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Dos años,Si,Transferencia bancaria (automatico),101.3,7261.25,3.3766666666666665,6,0
0019-GFNTW,No,Mujer,0,No,No,56,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria (automatico),45.05,2560.1,1.5016666666666665,4,0
0020-INWCK,No,Mujer,0,Si,Si,71,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Dos años,Si,Tarjeta de credito (automatico),95.75,6849.4,3.191666666666667,5,0
0020-JDNXP,No,Mujer,0,Si,Si,34,No,Sin servicio telefonico,DSL,Si,No,Si,Si,Si,Si,Anual,No,Cheque por correo,61.25,1993.2,2.0416666666666665,5,0
